PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average Inhibition at 8.3 uM,Standard Deviation,Inhibition at 8.3 uM [1],Inhibition at 8.3 uM [2],Inhibition at 8.3 uM [3]
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Normalized percent inhibition of the confirmation screen at a compound concentration of 8.3 uM.,Standard deviation derived from the normalized percent inhibition of the triplicate data for each compound.,Percent inhibition of the confirmation screen at a compound concentration of 8.3 uM; replicate 1.,Percent inhibition of the confirmation screen at a compound concentration of 8.3 uM; replicate 2.,Percent inhibition of the confirmation screen at a compound concentration of 8.3 uM; replicate 3.
RESULT_UNIT,,,,,,,,PERCENT,NONE,PERCENT,PERCENT,PERCENT
81,99357617,288819,C1COCCN1C2=CC(=O)C3=CC=CC4=C3C2=CC=C4,Inactive,12,,,7.27,0.863044,8.48272,6.54979,6.77487
82,24821795,1483505,COC1=CC(=C(C=C1)OC)NC(=O)C2=CC=C(C=C2)C3=CC=CS3,Inactive,12,,,7.2,0.21514,7.01448,7.50195,7.08484
83,57269039,25163858,COC1=CC(=C(C=C1)OC)/C=C/C(=O)OCC(=O)NC2=NN=C(O2)C3=CC=CC=C3,Inactive,12,,,7.15,0.773577,8.24328,6.58697,6.61802
84,49826819,3853846,COC1=C(C=CC(=C1)[N+](=O)[O-])NC(=S)NNC(=O)CCC(=O)NC2=CC=CC=C2Cl,Inactive,11,,,7.13,0.597632,7.78729,6.34034,7.25611
85,49647617,1340979,COC1=CC=CC=C1N2C(=NC3=CC=CC=C3C2=O)C4=CC=CC=C4Cl,Inactive,11,,,7.12,1.51214,7.82821,8.51592,5.02011
86,26667070,87935,CCCCNC1=C2C=CC=C3C2=C(C=C1)C(=O)N(C3=O)CCCC,Inactive,11,,,7.08,0.715999,7.8806,7.21837,6.14306
87,56317955,24980106,CC1(C(=O)N(C(=O)N1)CC(=O)NC2=C(C=C(C=C2)N3CCOCC3)N4CCOCC4)C5=CC=CC=C5,Inactive,11,,,7.03,1.51053,8.45414,4.93709,7.69079
88,57259614,135493873,CCOC(=O)C\1=C(NC2=CC=CC=C2N/C1=N\S(=O)(=O)C3=CC(=CC=C3)Cl)C,Inactive,11,,,7.02,1.06829,7.94427,5.5203,7.586
89,56436631,7546,C1=CC=C(C=C1)NC2=CC(=CC=C2)O,Inactive,11,,,7.01,1.12641,8.21212,5.50385,7.31468
90,56318243,24687902,C1CCC(CC1)NC(=O)COC(=O)/C=C/C2=CC=C(C=C2)OC(F)F,Inactive,11,,,6.98,0.225149,6.90341,6.75332,7.28796
